Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant Price,Variant Taxable,Status,SEO Title,SEO Description
"batteria-lexus-ux-250h-2019-oggi","Batteria ibrida Lexus UX 250h 2019-oggi","<p>Batteria ibrida standard per Lexus UX 250h, crossover compatto premium introdotto nel 2019. Configurazione con 30 moduli prismatici per i model year indicati.</p><table><tr><td>Marca</td><td>Lexus</td></tr><tr><td>Modello</td><td>UX 250h</td></tr><tr><td>Anno</td><td>2019 - oggi</td></tr><tr><td>Numero moduli</td><td>30</td></tr><tr><td>Tipologia celle</td><td>Prismatiche</td></tr><tr><td>Celle per modulo</td><td>6</td></tr><tr><td>Capacità celle</td><td>6.5 Ah</td></tr><tr><td>Tensione nominale</td><td>7.2 V</td></tr><tr><td>Modalità vendita</td><td>Standard</td></tr><tr><td>Prezzo</td><td>950 € + IVA</td></tr></table><p>Adatta ai modelli UX 250h con batteria NiMH. Scrivici per conferma compatibilità tramite telaio.</p>","Relife Battery","Batteria Ibrida","lexus,ux-250h,ibrida,batteria-prismatica",TRUE,"Versione","Standard",950.00,TRUE,active,"Batteria ibrida Lexus UX 250h 2019-oggi | Relife Battery","Batteria ibrida Lexus UX 250h con 30 moduli prismatici. Prezzo 950 € + IVA."
"batteria-toyota-highlander-ii-2005-2013","Batteria ibrida Toyota Highlander II 2005-2013","<p>Batteria ibrida standard per Toyota Highlander Hybrid, SUV medio-grande a trazione ibrida. Configurazione con 30 moduli prismatici per il periodo 2005-2013.</p><table><tr><td>Marca</td><td>Toyota</td></tr><tr><td>Modello</td><td>Highlander II</td></tr><tr><td>Anno</td><td>2005 - 2013</td></tr><tr><td>Numero moduli</td><td>30</td></tr><tr><td>Tipologia celle</td><td>Prismatiche</td></tr><tr><td>Celle per modulo</td><td>6</td></tr><tr><td>Capacità celle</td><td>6.5 Ah</td></tr><tr><td>Tensione nominale</td><td>7.2 V</td></tr><tr><td>Modalità vendita</td><td>Standard</td></tr><tr><td>Prezzo</td><td>950 € + IVA</td></tr></table><p>Compatibile con Highlander Hybrid / Kluger Hybrid nei model year indicati. Richiedi verifica prima dell'acquisto.</p>","Relife Battery","Batteria Ibrida","toyota,highlander,ibrida,batteria-prismatica",TRUE,"Versione","Standard",950.00,TRUE,active,"Batteria ibrida Toyota Highlander II 2005-2013 | Relife Battery","Batteria ibrida Toyota Highlander II 2005-2013 con 30 moduli prismatici. Prezzo 950 € + IVA."
"batteria-toyota-highlander-ii-2014-2019","Batteria ibrida Toyota Highlander II 2014-2019","<p>Batteria ibrida standard per Toyota Highlander Hybrid di seconda fase, SUV a sette posti con powertrain hybrid Toyota. Pacco HV con 30 moduli prismatici.</p><table><tr><td>Marca</td><td>Toyota</td></tr><tr><td>Modello</td><td>Highlander II</td></tr><tr><td>Anno</td><td>2014 - 2019</td></tr><tr><td>Numero moduli</td><td>30</td></tr><tr><td>Tipologia celle</td><td>Prismatiche</td></tr><tr><td>Celle per modulo</td><td>6</td></tr><tr><td>Capacità celle</td><td>6.5 Ah</td></tr><tr><td>Tensione nominale</td><td>7.2 V</td></tr><tr><td>Modalità vendita</td><td>Standard</td></tr><tr><td>Prezzo</td><td>950 € + IVA</td></tr></table><p>Compatibile con i model year 2014-2019. Contattaci con targa o VIN per verifica rapida.</p>","Relife Battery","Batteria Ibrida","toyota,highlander-2014,ibrida,batteria-prismatica",TRUE,"Versione","Standard",950.00,TRUE,active,"Batteria ibrida Toyota Highlander II 2014-2019 | Relife Battery","Batteria ibrida Toyota Highlander II 2014-2019 con 30 moduli prismatici. Prezzo 950 € + IVA."
"batteria-lexus-is-300h-2013-2019","Batteria ibrida Lexus IS 300h 2013-2019","<p>Batteria ibrida standard per Lexus IS 300h, berlina premium sportiva della gamma Lexus. Configurazione con 32 moduli prismatici dedicata ai model year indicati.</p><table><tr><td>Marca</td><td>Lexus</td></tr><tr><td>Modello</td><td>IS 300h</td></tr><tr><td>Anno</td><td>2013 - 2019</td></tr><tr><td>Numero moduli</td><td>32</td></tr><tr><td>Tipologia celle</td><td>Prismatiche</td></tr><tr><td>Celle per modulo</td><td>6</td></tr><tr><td>Capacità celle</td><td>6.5 Ah</td></tr><tr><td>Tensione nominale</td><td>7.2 V</td></tr><tr><td>Modalità vendita</td><td>Standard</td></tr><tr><td>Prezzo</td><td>1.000 € + IVA</td></tr></table><p>Compatibile con Lexus IS 300h serie XE30. Verifica compatibilità con il nostro supporto tecnico.</p>","Relife Battery","Batteria Ibrida","lexus,is-300h,ibrida,batteria-prismatica",TRUE,"Versione","Standard",1000.00,TRUE,active,"Batteria ibrida Lexus IS 300h 2013-2019 | Relife Battery","Batteria ibrida Lexus IS 300h 2013-2019 con 32 moduli prismatici. Prezzo 1.000 € + IVA."
"batteria-lexus-gs-300h-2013-2019","Batteria ibrida Lexus GS 300h 2013-2019","<p>Batteria ibrida standard per Lexus GS 300h, berlina executive premium. Soluzione con 32 moduli prismatici per i modelli 2013-2019.</p><table><tr><td>Marca</td><td>Lexus</td></tr><tr><td>Modello</td><td>GS 300h</td></tr><tr><td>Anno</td><td>2013 - 2019</td></tr><tr><td>Numero moduli</td><td>32</td></tr><tr><td>Tipologia celle</td><td>Prismatiche</td></tr><tr><td>Celle per modulo</td><td>6</td></tr><tr><td>Capacità celle</td><td>6.5 Ah</td></tr><tr><td>Tensione nominale</td><td>7.2 V</td></tr><tr><td>Modalità vendita</td><td>Standard</td></tr><tr><td>Prezzo</td><td>1.000 € + IVA</td></tr></table><p>Compatibile con Lexus GS 300h. Richiedi conferma disponibilità prima dell'acquisto.</p>","Relife Battery","Batteria Ibrida","lexus,gs-300h,ibrida,batteria-prismatica",TRUE,"Versione","Standard",1000.00,TRUE,active,"Batteria ibrida Lexus GS 300h 2013-2019 | Relife Battery","Batteria ibrida Lexus GS 300h 2013-2019 con 32 moduli prismatici. Prezzo 1.000 € + IVA."
"batteria-toyota-rav4-2012-2018","Batteria ibrida Toyota RAV4 2012-2018","<p>Batteria ibrida standard per Toyota RAV4 Hybrid, SUV medio Toyota. Pacco batteria con 34 moduli prismatici per i model year 2012-2018 indicati nella tua lista.</p><table><tr><td>Marca</td><td>Toyota</td></tr><tr><td>Modello</td><td>RAV4</td></tr><tr><td>Anno</td><td>2012 - 2018</td></tr><tr><td>Numero moduli</td><td>34</td></tr><tr><td>Tipologia celle</td><td>Prismatiche</td></tr><tr><td>Celle per modulo</td><td>6</td></tr><tr><td>Capacità celle</td><td>6.5 Ah</td></tr><tr><td>Tensione nominale</td><td>7.2 V</td></tr><tr><td>Modalità vendita</td><td>Standard</td></tr><tr><td>Prezzo</td><td>1.100 € + IVA</td></tr></table><p>Compatibile con le versioni ibride RAV4 dei model year indicati. Scrivici per una verifica puntuale del veicolo.</p>","Relife Battery","Batteria Ibrida","toyota,rav4,ibrida,batteria-prismatica",TRUE,"Versione","Standard",1100.00,TRUE,active,"Batteria ibrida Toyota RAV4 2012-2018 | Relife Battery","Batteria ibrida Toyota RAV4 2012-2018 con 34 moduli prismatici. Prezzo 1.100 € + IVA."
"batteria-toyota-camry-i-2006-2011","Batteria ibrida Toyota Camry I 2006-2011","<p>Batteria ibrida standard per Toyota Camry Hybrid prima serie della tua lista, berlina di segmento medio. Configurazione con 34 moduli prismatici.</p><table><tr><td>Marca</td><td>Toyota</td></tr><tr><td>Modello</td><td>Camry I</td></tr><tr><td>Anno</td><td>2006 - 2011</td></tr><tr><td>Numero moduli</td><td>34</td></tr><tr><td>Tipologia celle</td><td>Prismatiche</td></tr><tr><td>Celle per modulo</td><td>6</td></tr><tr><td>Capacità celle</td><td>6.5 Ah</td></tr><tr><td>Tensione nominale</td><td>7.2 V</td></tr><tr><td>Modalità vendita</td><td>Standard</td></tr><tr><td>Prezzo</td><td>1.100 € + IVA</td></tr></table><p>Soluzione dedicata ai modelli Camry Hybrid 2006-2011. Verifica telaio o codice batteria con noi prima dell'ordine.</p>","Relife Battery","Batteria Ibrida","toyota,camry,ibrida,batteria-prismatica",TRUE,"Versione","Standard",1100.00,TRUE,active,"Batteria ibrida Toyota Camry I 2006-2011 | Relife Battery","Batteria ibrida Toyota Camry I 2006-2011 con 34 moduli prismatici. Prezzo 1.100 € + IVA."
"batteria-toyota-camry-ii-2012-2017","Batteria ibrida Toyota Camry II 2012-2017","<p>Batteria ibrida standard per Toyota Camry Hybrid seconda fase della tua lista, berlina comoda e affidabile con powertrain full hybrid Toyota. Pacco HV con 34 moduli prismatici.</p><table><tr><td>Marca</td><td>Toyota</td></tr><tr><td>Modello</td><td>Camry II</td></tr><tr><td>Anno</td><td>2012 - 2017</td></tr><tr><td>Numero moduli</td><td>34</td></tr><tr><td>Tipologia celle</td><td>Prismatiche</td></tr><tr><td>Celle per modulo</td><td>6</td></tr><tr><td>Capacità celle</td><td>6.5 Ah</td></tr><tr><td>Tensione nominale</td><td>7.2 V</td></tr><tr><td>Modalità vendita</td><td>Standard</td></tr><tr><td>Prezzo</td><td>1.100 € + IVA</td></tr></table><p>Compatibile con Camry Hybrid 2012-2017. Contattaci per confermare la versione corretta.</p>","Relife Battery","Batteria Ibrida","toyota,camry-ii,ibrida,batteria-prismatica",TRUE,"Versione","Standard",1100.00,TRUE,active,"Batteria ibrida Toyota Camry II 2012-2017 | Relife Battery","Batteria ibrida Toyota Camry II 2012-2017 con 34 moduli prismatici. Prezzo 1.100 € + IVA."
"batteria-lexus-nx-300h-2014-2021","Batteria ibrida Lexus NX 300h 2014-2021","<p>Batteria ibrida standard per Lexus NX 300h, SUV premium compatto/medio della gamma Lexus. Configurazione a 34 moduli prismatici per i model year 2014-2021.</p><table><tr><td>Marca</td><td>Lexus</td></tr><tr><td>Modello</td><td>NX 300h</td></tr><tr><td>Anno</td><td>2014 - 2021</td></tr><tr><td>Numero moduli</td><td>34</td></tr><tr><td>Tipologia celle</td><td>Prismatiche</td></tr><tr><td>Celle per modulo</td><td>6</td></tr><tr><td>Capacità celle</td><td>6.5 Ah</td></tr><tr><td>Tensione nominale</td><td>7.2 V</td></tr><tr><td>Modalità vendita</td><td>Standard</td></tr><tr><td>Prezzo</td><td>1.100 € + IVA</td></tr></table><p>Compatibile con NX 300h prima generazione. Verifica compatibilità tramite telaio prima della conferma d’ordine.</p>","Relife Battery","Batteria Ibrida","lexus,nx-300h,ibrida,batteria-prismatica",TRUE,"Versione","Standard",1100.00,TRUE,active,"Batteria ibrida Lexus NX 300h 2014-2021 | Relife Battery","Batteria ibrida Lexus NX 300h 2014-2021 con 34 moduli prismatici. Prezzo 1.100 € + IVA."
"batteria-lexus-gs-450h-2005-2011","Batteria ibrida Lexus GS 450h 2005-2011","<p>Batteria ibrida standard per Lexus GS 450h, berlina executive ibrida ad alte prestazioni. Pacco batteria HV con 40 moduli prismatici.</p><table><tr><td>Marca</td><td>Lexus</td></tr><tr><td>Modello</td><td>GS 450h</td></tr><tr><td>Anno</td><td>2005 - 2011</td></tr><tr><td>Numero moduli</td><td>40</td></tr><tr><td>Tipologia celle</td><td>Prismatiche</td></tr><tr><td>Celle per modulo</td><td>6</td></tr><tr><td>Capacità celle</td><td>6.5 Ah</td></tr><tr><td>Tensione nominale</td><td>7.2 V</td></tr><tr><td>Modalità vendita</td><td>Standard</td></tr><tr><td>Prezzo</td><td>1.250 € + IVA</td></tr></table><p>Compatibile con Lexus GS 450h dei model year indicati. Contattaci per una verifica tecnica puntuale prima dell'ordine.</p>","Relife Battery","Batteria Ibrida","lexus,gs-450h,ibrida,batteria-prismatica",TRUE,"Versione","Standard",1250.00,TRUE,active,"Batteria ibrida Lexus GS 450h 2005-2011 | Relife Battery","Batteria ibrida Lexus GS 450h 2005-2011 con 40 moduli prismatici. Prezzo 1.250 € + IVA."
